"","APMC","Commodity","Type"
"1331","Chikhali","bajri","Multiplicative"
"1332","Dharangaon","bajri","Multiplicative"
"1333","Jalgaon-Masawat","bajri","Multiplicative"
"1334","Navapur","bajri","Multiplicative"
"1335","Nampur","bajri","Multiplicative"
"1336","Pune-Pimpri","bajri","Multiplicative"
"1337","Ulhasnagar","bajri","Multiplicative"
"1338","Bori","bajri","Multiplicative"
"1339","Vadvani","bajri","Multiplicative"
"1340","Chakur","bajri","Multiplicative"
"1341","Pune","coconut","Multiplicative"
"1342","Alibag","coconut","Multiplicative"
"1343","Ulhasnagar","coconut","Multiplicative"
"1344","Sironcha","cotton","Multiplicative"
"1345","Mangrulpeer","cotton","Multiplicative"
"1346","Bhadrawati","cotton","Multiplicative"
"1347","Vadvani","cotton","Multiplicative"
"1348","Jamkhed","maize","Multiplicative"
"1349","Telhara","maize","Multiplicative"
"1350","Sironcha","maize","Multiplicative"
"1351","Bodwad-Varangaon","maize","Multiplicative"
"1352","Dharangaon","maize","Multiplicative"
"1353","Jalgaon-Masawat","maize","Multiplicative"
"1354","Raver-Sawada","maize","Multiplicative"
"1355","Nampur","maize","Multiplicative"
"1356","Koregaon","maize","Multiplicative"
"1357","Sangamner","mustard","Multiplicative"
"1358","Sillod-Bharadi","mustard","Multiplicative"
"1359","Lakhandur","mustard","Multiplicative"
"1360","Bhandara","mustard","Multiplicative"
"1361","Latur","mustard","Multiplicative"
"1362","Bhiwapur","mustard","Multiplicative"
"1363","Nanded","mustard","Multiplicative"
"1364","Devala","mustard","Multiplicative"
"1365","Indapur","mustard","Multiplicative"
"1366","Bhandara","paddyunhusked","Multiplicative"
"1367","Varora","paddyunhusked","Multiplicative"
"1368","Sironcha","paddyunhusked","Multiplicative"
"1369","Sadak Arjuni","paddyunhusked","Multiplicative"
"1370","Devri","paddyunhusked","Multiplicative"
"1371","Mauda","paddyunhusked","Multiplicative"
"1372","Kalvan","paddyunhusked","Multiplicative"
"1373","Kalamb (Os)","paddyunhusked","Multiplicative"
"1374","Khalapur(Shil-Phata)","paddyunhusked","Multiplicative"
"1375","Kalyan","paddyunhusked","Multiplicative"
"1376","Palghar(Bevur)","paddyunhusked","Multiplicative"
"1377","Karjat (A- Nagar)","pigeon pea tur","Multiplicative"
"1378","Dharni","pigeon pea tur","Multiplicative"
"1379","Tiwasa","pigeon pea tur","Multiplicative"
"1380","Varud","pigeon pea tur","Multiplicative"
"1381","Pavani","pigeon pea tur","Multiplicative"
"1382","Sindkhed Raja","pigeon pea tur","Multiplicative"
"1383","Pombhurni","pigeon pea tur","Multiplicative"
"1384","Savali","pigeon pea tur","Multiplicative"
"1385","Hingoli-Kanegaon Naka","pigeon pea tur","Multiplicative"
"1386","Mauda","pigeon pea tur","Multiplicative"
"1387","Mahur","pigeon pea tur","Multiplicative"
"1388","Hanegaon","pigeon pea tur","Multiplicative"
"1389","Akkalkuwa","pigeon pea tur","Multiplicative"
"1390","Nampur","pigeon pea tur","Multiplicative"
"1391","Lasalgaon-Vinchur","pigeon pea tur","Multiplicative"
"1392","Bori","pigeon pea tur","Multiplicative"
"1393","Indapur (Nimgaon Ketki)","pigeon pea tur","Multiplicative"
"1394","Washim-Ansing","pigeon pea tur","Multiplicative"
"1395","Mahagaon","pigeon pea tur","Multiplicative"
"1396","Sangamner","ricepaddyhus","Multiplicative"
"1397","Akola","ricepaddyhus","Multiplicative"
"1398","Sakri","ricepaddyhus","Multiplicative"
"1399","Sironcha","ricepaddyhus","Multiplicative"
"1400","Gondiya","ricepaddyhus","Multiplicative"
"1401","Raver","ricepaddyhus","Multiplicative"
"1402","Lasalgaon-Vinchur","ricepaddyhus","Multiplicative"
"1403","Umarga","ricepaddyhus","Multiplicative"
"1404","Baramati","ricepaddyhus","Multiplicative"
"1405","Indapur (Nimgaon Ketki)","ricepaddyhus","Multiplicative"
"1406","Khalapur(Shil-Phata)","ricepaddyhus","Multiplicative"
"1407","Panvel","ricepaddyhus","Multiplicative"
"1408","Aurad Shahajani","safflower","Multiplicative"
"1409","Naigaon","safflower","Multiplicative"
"1410","Nanded","safflower","Multiplicative"
"1411","Sinner","safflower","Multiplicative"
"1412","Osmanabad","safflower","Multiplicative"
"1413","Manwat","safflower","Multiplicative"
"1414","Pathari","safflower","Multiplicative"
"1415","Bori","safflower","Multiplicative"
"1416","Indapur","safflower","Multiplicative"
"1417","Morshi","sesamum","Multiplicative"
"1418","Sangrampur-Varvatbakal","sesamum","Multiplicative"
"1419","Chikhali","sesamum","Multiplicative"
"1420","Chalisgaon","sesamum","Multiplicative"
"1421","Yawal","sesamum","Multiplicative"
"1422","Umared","sesamum","Multiplicative"
"1423","Nanded","sesamum","Multiplicative"
"1424","Malegaon","sesamum","Multiplicative"
"1425","Akkolkot","sesamum","Multiplicative"
"1426","Wardha","sesamum","Multiplicative"
"1427","Washim","sesamum","Multiplicative"
"1428","Karjat (A- Nagar)","sorgumjawar","Multiplicative"
"1429","Nandgaon Khandeshwar","sorgumjawar","Multiplicative"
"1430","Deulgaon Raja","sorgumjawar","Multiplicative"
"1431","Buldhana-Dhad","sorgumjawar","Multiplicative"
"1432","Dharangaon","sorgumjawar","Multiplicative"
"1433","Jalgaon-Masawat","sorgumjawar","Multiplicative"
"1434","Raver-Sawada","sorgumjawar","Multiplicative"
"1435","Chakur","sorgumjawar","Multiplicative"
"1436","Manmad","sorgumjawar","Multiplicative"
"1437","Nampur","sorgumjawar","Multiplicative"
"1438","Kalvan","sorgumjawar","Multiplicative"
"1439","Bori","sorgumjawar","Multiplicative"
"1440","Pune","sorgumjawar","Multiplicative"
"1441","Vai","sorgumjawar","Multiplicative"
"1442","Ulhasnagar","sorgumjawar","Multiplicative"
"1443","Sindi (Selu)","sorgumjawar","Multiplicative"
"1444","Manora","sorgumjawar","Multiplicative"
"1445","Washim-Ansing","sorgumjawar","Multiplicative"
"1446","Shirala","sorgumjawar","Multiplicative"
"1447","Vadvani","sorgumjawar","Multiplicative"
"1448","Shrigonda","sunflower","Multiplicative"
"1449","Balapur","sunflower","Multiplicative"
"1450","Kej","sunflower","Multiplicative"
"1451","Lonar","sunflower","Multiplicative"
"1452","Mandhal","sunflower","Multiplicative"
"1453","Nampur","sunflower","Multiplicative"
"1454","Osmanabad","sunflower","Multiplicative"
"1455","Indapur (Nimgaon Ketki)","sunflower","Multiplicative"
"1456","Chakur","sunflower","Multiplicative"
"1457","Shirur","sunflower","Multiplicative"
"1458","Rahuri-Songaon","wheathusked","Multiplicative"
"1459","Varud","wheathusked","Multiplicative"
"1460","Buldhana-Dhad","wheathusked","Multiplicative"
"1461","Hingoli-Kanegaon Naka","wheathusked","Multiplicative"
"1462","Bodwad-Varangaon","wheathusked","Multiplicative"
"1463","Dharangaon","wheathusked","Multiplicative"
"1464","Raver-Sawada","wheathusked","Multiplicative"
"1465","Jalgaon-Masawat","wheathusked","Multiplicative"
"1466","Mauda","wheathusked","Multiplicative"
"1467","Hadgaon-Tamsa","wheathusked","Multiplicative"
"1468","Umari","wheathusked","Multiplicative"
"1469","Dhadgaon","wheathusked","Multiplicative"
"1470","Nampur","wheathusked","Multiplicative"
"1471","Bori","wheathusked","Multiplicative"
"1472","Pune-Pimpri","wheathusked","Multiplicative"
"1473","Pune","wheathusked","Multiplicative"
"1474","Tasgaon","wheathusked","Multiplicative"
"1475","Solapur","wheathusked","Multiplicative"
"1476","Karmala","wheathusked","Multiplicative"
"1477","Samudrapur","wheathusked","Multiplicative"
"1478","Washim-Ansing","wheathusked","Multiplicative"
"1479","Baramati","wheatunhusked","Multiplicative"
"1480","Barshi-Vairag","wheatunhusked","Multiplicative"
